';
update han_levels  set total='20' where hanja='襭';';
';
한자	대표훈음	부수';
寘	둘 치	宀';
懥	성낼 치	心';
鴟	솔개 치	鳥';
觶	술잔 치	角';
菑	묵정밭 치 | 재앙 재	艸';
哆	입벌릴 치	口';
絺	가는칡베 치	糸';
則	법칙 칙	刀';
勅	칙서 칙	力';
飭	신칙할 칙	食';
親	친할 친	見';
七	일곱 칠	一';
漆	옻 칠	水';
柒	옻[漆] 칠	木';
侵	침노할 침	人';
寢	잘 침:	宀';
針	바늘 침(:)	金';
浸	잠길 침:	水';
沈	잠길 침(:) | 성(姓) 심:	水';
枕	베개 침:	木';
鍼	침(鍼) 침	金';
砧	다듬잇돌 침:	石';
琛	보배 침	玉';
忱	정성 침	心';
綅	붉은실 침 | 비단 섬	糸';
寑	잘 침:	宀';
駸	말달릴 침	馬';
蟄	숨을 칩	虫';
縶	말맬 칩	糸';
稱	일컬을 칭	禾';
秤	저울 칭	禾';
快	쾌할 쾌	心';
夬	괘이름/결단할 쾌	大';
噲	목구멍 쾌:	口';
他	다를 타	人';
打	칠 타:	手';
妥	온당할 타:	女';
墮	떨어질 타:	土';
駝	낙타 타	馬';
楕	길고둥글 타:	木';
惰	게으를 타:	心';
唾	침[涎] 타:	口';
陀	비탈질/부처 타	阜';
舵	키[正船木] 타	舟';
朶	꽃송이 타:	木';
馱	짐실을 타	馬';
拖	끌 타	手';
咤	꾸짖을 타	口';
紽	타래 타	糸';
佗	짊어질/다를 타	人';
沱	물이름/눈물흐를 타	水';
鮀	모래무지 타	魚';
鼉	자라/악어 타	黽';
它	다를 타 | 뱀 사	宀';
嶞	산좁고길 타	山';
卓	높을 탁	十';
托	맡길 탁	手';
濁	흐릴 탁	水';
濯	씻을 탁	水';
琢	다듬을 탁	玉';
託	부탁할 탁	言';
擢	뽑을 탁	手';
鐸	방울 탁	金';
倬	클 탁	人';
啄	쫄 탁	口';
坼	터질 탁	土';
晫	밝을 탁	日';
柝	쪼갤/딱따기 탁	木';
琸	사람이름 탁	玉';
橐	전대 탁	木';
椓	칠 탁	木';
蘀	낙엽 탁	艸';
炭	숯 탄:	火';
歎	탄식할 탄:	欠';
彈	탄알 탄:	弓';
誕	낳을/거짓 탄:	言';
灘	여울 탄	水';
呑	삼킬 탄	口';
坦	평탄할 탄:	土';
憚	꺼릴 탄	心';
綻	터질 탄:	糸';
嘆	한숨쉴[歎] 탄:	口';
嘽	헐떡거릴 탄 | 느릿할 천:	口';
驒	연전총(連錢驄) 탄	馬';
殫	다할 탄	歹';
僤	빠를 탄	人';
疃	짐승발자국/마을 탄	田';
脫	벗을 탈	肉';
奪	빼앗을 탈	大';
梲	막대기 탈 | 동자기둥 절	木';
探	찾을 탐	手';
貪	탐낼 탐	貝';
耽	즐길 탐	耳';
眈	노려볼 탐	目';
醓	육장 탐	酉';
嗿	먹는소리/많을 탐	口';
塔	탑 탑	土';
搭	탈[乘] 탑	手';
榻	긴걸상 탑	木';
漯	물이모이는모양 탑 | 강이름 루	水';
湯	끓을 탕:	水';
宕	호탕할 탕:	宀';
蕩	방탕할 탕:	艸';
帑	국고/재물 탕: | 처자 노	巾';
簜	왕대 탕	竹';
蝪	땅거미 탕	虫';
盪	씻을 탕:	皿';
太	클 태	大';
態	모습 태:	心';
殆	거의 태	歹';
泰	클 태	水';
怠	게으를 태	心';
颱	태풍 태	風';
胎	아이밸 태	肉';
兌	바꿀/기쁠 태	儿';
台	별 태	口';
笞	볼기칠 태	竹';
苔	이끼 태	艸';
跆	밟을 태	足';
汰	일[淘] 태	水';
邰	나라이름 태	邑';
駾	말빨리달릴 태	馬';
迨	미칠 태	辵';
宅	집 택	宀';
擇	가릴 택	手';
澤	못 택	水';
撐	버틸 탱	手';
撑	버틸[撐] 탱	手';
攄	펼 터:	手';
土	흙 토	土';
討	칠 토(:)	言';
吐	토할 토(:)	口';
兔	토끼 토	儿';
兎	토끼[兔] 토	儿';
噋	느릿할 톤 | 일깨울 순	口';
噸	무게단위 톤	口';
瓲	톤 톤	瓦';
畽	염우없을 톤 | 빈터 탄	田';
啍	느릿할 톤 | 일깨울 순	口';
通	통할 통	辵';
統	거느릴 통:	糸';
痛	아플 통:	疒';
慟	서러워할 통:	心';
桶	통(桶) 통	木';
筒	통(筒) 통	竹';
恫	슬플 통 | 으를 동	心';
退	물러날 퇴:	辵';
頹	무너질 퇴	頁';
堆	쌓을 퇴:	土';
褪	바랠[褪色] 퇴:	衣';
腿	넓적다리 퇴:	肉';
蓷	익모초 퇴	艸';
魋	짐승이름 퇴 | 북상투 추	鬼';
隤	무너질 퇴	阜';
投	던질 투	手';
鬪	싸움 투	鬥';
透	사무칠 투	辵';
套	씌울 투	大';
妬	샘낼 투	女';
偸	훔칠 투	人';
渝	변할 투	水';
特	특별할 특	牛';
慝	사특할 특	心';
忒	변할 특	心';
闖	엿볼 틈	門';
波	물결 파	水';
破	깨뜨릴 파:	石';
派	갈래 파	水';
播	뿌릴 파(:)	手';
把	잡을 파:	手';
罷	마칠 파:	网';
頗	자못 파	頁';
坡	언덕 파	土';
巴	꼬리 파	己';
爬	긁을 파	爪';
琶	비파 파	玉';
芭	파초 파	艸';
跛	절름발이 파 | 비스듬히설 피:	足';
婆	할미 파	女';
杷	비파나무/써레 파	木';
擺	벌릴/열 파	手';
嶓	산이름 파	山';
皤	머리흴 파	白';
豝	암퇘지 파	豕';
簸	까부를 파:	竹';
板	널 판	木';
判	판단할 판	刀';
版	판목 판	片';
販	팔[賣] 판	貝';
阪	언덕 판	阜';
辦	힘들일 판	辛';
坂	언덕 판	土';
鈑	금박 판	金';
瓣	꽃잎/날름 판	瓜';
昄	클 판	日';
八	여덟 팔	八';
捌	깨뜨릴 팔	手';
叭	나팔 팔	口';
敗	패할 패:	攴';
貝	조개 패:	貝';
霸	으뜸 패:	雨';
沛	비쏟아질 패:	水';
牌	패(牌) 패	片';
悖	거스를 패:	心';
唄	염불소리 패:	口';
佩	찰[帶] 패:	人';
稗	피[穀類] 패:	禾';
浿	강이름 패:	水';
覇	으뜸[霸] 패:	襾';
狽	이리 패:	犬';
旆	기(旗) 패	方';
粺	정미(精米) 패	米';
茷	풀잎무성할 패	艸';
孛	살별 패 | 안색변할 발	子';
彭	성(姓) 팽	彡';
膨	불을 팽	肉';
澎	물소리 팽	水';
烹	삶을 팽	火';
祊	제사이름 팽	示';
伻	심부름꾼 팽	人';
愎	강퍅할 퍅	心';
便	편할 편(:) | 똥오줌 변	人';
篇	책 편	竹';
編	엮을 편	糸';
片	조각 편(:)	片';
偏	치우칠 편	人';
遍	두루 편	辵';
扁	작을 편	戶';
鞭	채찍 편	革';
騙	속일 편	馬';
翩	빨리날 편	羽';
徧	두루 편 | 두루 변	彳';
褊	옷좁을 편	衣';
諞	교묘히말할 편	言';
貶	낮출 폄:	貝';
平	평평할 평	干';
評	평할 평:	言';
坪	들[野] 평	土';
萍	부평초(浮萍草) 평	艸';
枰	바둑판 평	木';
苹	다북쑥 평	艸';
閉	닫을 폐:	門';
肺	허파 폐:	肉';
廢	폐할/버릴 폐:	广';
弊	폐단/해질 폐:	廾';
幣	화폐 폐:	巾';
蔽	덮을 폐:	艸';
斃	죽을 폐:	攴';
陛	대궐섬돌 폐:	阜';
嬖	사랑할 폐:	女';
吠	짖을 폐:	口';
敝	해질 폐:	攴';
砲	대포 포:	石';
包	쌀[裹] 포(:)	勹';
布	베/펼 포(:) | 보시 보:	巾';
胞	세포 포(:)	肉';
捕	잡을 포:	手';
浦	개[水邊] 포	水';
抱	안을 포:	手';
飽	배부를 포:	食';
怖	두려워할 포	心';
鋪	펼/가게 포	金';
抛	던질 포:	手';
鮑	절인물고기 포:	魚';
葡	포도 포	艸';
疱	물집 포:	疒';
庖	부엌 포	广';
逋	도망갈 포	辵';
褒	기릴 포	衣';
袍	도포 포	衣';
匍	길 포	勹';
脯	포(脯) 포	肉';
泡	거품 포	水';
圃	채마밭 포	囗';
哺	먹일 포:	口';
咆	고함지를[咆哮] 포	口';
蒲	부들 포	艸';
佈	펼 포:	人';
苞	떨기 포	艸';
匏	박 포	勹';
麃	고라니 포 | 김맬 표	鹿';
襃	기릴 포	衣';
餔	저녁밥 포	食';
炰	구울 포	火';
炮	싸서구울 포	火';
暴	사나울 폭 | 모질 포:	日';
爆	불터질 폭	火';
幅	폭 폭	巾';
曝	쪼일 폭 | 쪼일 포	日';
瀑	폭포 폭 | 소나기 포	水';
表	겉 표	衣';
票	표 표	示';
標	표할 표	木';
漂	떠다닐 표	水';
杓	북두자루 표	木';
豹	표범 표	豸';
慓	급할 표	心';
飄	나부낄 표	風';
剽	겁박할 표	刀';
俵	나누어줄 표	人';
彪	범 표	彡';
驃	누런말 표	馬';
瓢	표주박 표	瓜';
飇	폭풍 표	風';
鑣	재갈 표	金';
滮	물흐르는모양 표 | 물흐르는모양 퓨	水';
瀌	눈비퍼부을 표	水';
飆	폭풍 표	風';
摽	칠 표	手';
殍	굶어죽을 표	歹';
嘌	빠를 표	口';
儦	떼지어다닐 표	人';
品	물건 품:	口';
稟	여쭐 품:	禾';
風	바람 풍	風';
豊	풍년 풍	豆';
楓	단풍 풍	木';
諷	풍자할 풍	言';
豐	풍년 풍	豆';
灃	강이름 풍	水';
疲	피곤할 피	疒';
避	피할 피:	辵';
被	입을 피:	衣';
皮	가죽 피	皮';
彼	저 피:	彳';
披	헤칠 피	手';
陂	방죽 피 | 언덕 파	阜';
詖	치우칠 피	言';
必	반드시 필	心';
筆	붓 필	竹';
畢	마칠 필	田';
匹	짝 필	匸';
弼	도울 필	弓';
疋	필(匹) 필	疋';
苾	필추 필	艸';
珌	칼집장식옥 필	玉';
馝	향기로울 필	香';
佖	점잖을/가득할 필	人';
鉍	창자루 필	金';
怭	설만할 필	心';
駜	말살찔 필	馬';
鞸	슬갑 필 | 칼집 병	革';
觱	피리/쌀쌀할 필	角';
飶	음식의향기 필	食';
逼	핍박할 핍	辵';
乏	모자랄 핍	丿';
偪	핍박할 핍	人';
下	아래 하:	一';
夏	여름 하:	夊';
河	물 하	水';
荷	멜 하(:)	艸';
賀	하례할 하:	貝';
何	어찌 하	人';
霞	노을 하	雨';
遐	멀 하	辵';
蝦	두꺼비/새우 하	虫';
瑕	허물 하	玉';
廈	큰집 하:	广';
厦	큰집 하:	厂';
昰	여름[夏] 하: | 이[是] 시:	日';
鰕	새우 하	魚';
騢	적부루마 하	馬';
芐	지황 하 | 지황 호	艸';
呀	입벌릴 하	口';
嘏	클 하	口';
菏	풀이름/늪이름 하	艸';
學	배울 학	子';
鶴	학 학	鳥';
虐	모질 학	虍';
壑	구렁 학	土';
謔	희롱할 학	言';
瘧	학질(瘧疾) 학	疒';
翯	함치르르할 학	羽';
韓	한국/나라 한(:)	韋';
漢	한수/한나라 한:	水';
寒	찰 한	宀';
限	한할 한:	阜';
閑	한가할 한	門';
恨	한[怨] 한:	心';
汗	땀 한(:)	水';
旱	가물 한:	日';
翰	편지 한:	羽';
邯	조(趙)나라서울 한 | 사람이름 감	邑';
罕	드물 한:	网';
悍	사나울 한:	心';
澣	빨래할/열흘 한	水';
瀚	넓고클 한	水';
閒	한가할 한	門';
扞	막을 한	手';
暵	마를/말릴 한	日';
哻	코고는소리 한	口';
熯	마를/말릴 한	火';
僩	너그러울/노할 한	人';
割	벨 할	刀';
轄	다스릴 할	車';
劼	삼갈 할	力';
舝	비녀장 할	舛';
含	머금을 함	口';
陷	빠질 함:	阜';
咸	다 함	口';
艦	큰 배 함:	舟';
緘	봉할 함	糸';
涵	젖을 함	水';
檻	난간 함:	木';
喊	소리칠 함:	口';
函	함(函) 함	凵';
銜	재갈 함	金';
鹹	짤[鹽味] 함	鹵';
啣	재갈[銜] 함	口';
諴	화할 함	言';
鬫	범우는소리 함	鬥';
菡	연꽃봉오리 함	艸';
合	합할 합	口';
盒	합(盒) 합	皿';
蛤	조개 합	虫';
闔	문짝 합	門';
閤	합문 합	門';
哈	마실 합	口';
嗑	입다물 합	口';
柙	짐승우리 합	木';
盍	덮을 합 | 새이름 갈	皿';
航	배 항:	舟';
港	항구 항:	水';
抗	겨룰 항:	手';
恒	항상 항	心';
項	항목 항:	頁';
巷	거리 항:	己';
沆	넓을 항:	水';
亢	높을 항	亠';
缸	항아리 항	缶';
肛	항문 항	肉';
桁	차꼬 항 | 도리 형	木';
姮	항아(姮娥) 항	女';
杭	거룻배 항	木';
嫦	항아 항 | 항아 상	女';
伉	강직할/짝 항:	人';
頏	새날아내릴/목구멍 항	頁';
海	바다 해:	水';
害	해할 해:	宀';
解	풀 해:	角';
亥	돼지 해	亠';
奚	어찌 해	大';
該	갖출[備]/마땅[當] 해	言';
諧	화할 해	言';
骸	뼈 해	骨';
楷	본보기 해	木';
偕	함께 해	人';
駭	놀랄 해	馬';
懈	게으를 해:	心';
咳	기침 해	口';
邂	우연히만날 해:	辵';
蟹	게 해	虫';
瀣	이슬 해	水';
孩	어린아이 해	子';
垓	땅가장자리 해	土';
陔	섬돌 해	阜';
醢	젓 해	酉';
核	씨 핵	木';
劾	꾸짖을 핵	力';
覈	핵실할 핵	襾';
幸	다행 행:	干';
行	다닐 행(:) | 항렬 항	行';
杏	살구 행:	木';
荇	마름풀 행	艸';
倖	요행 행:	人';
悻	발끈성낼 행:	心';
向	향할 향:	口';
鄕	시골 향	邑';
香	향기 향	香';
響	울릴 향:	音';
享	누릴 향:	亠';
嚮	길잡을 향:	口';
饗	잔치할 향:	食';
珦	옥구슬 향	玉';
餉	먹일/양식 향:	食';
許	허락할 허	言';
虛	빌 허	虍';
噓	불[吹] 허	口';
墟	터 허	土';
栩	상수리나무 허 | 상수리나무 우	木';
憲	법 헌:	心';
獻	드릴 헌:	犬';
軒	집 헌	車';
櫶	나무이름 헌	木';
巘	산봉우리 헌	山';
歇	쉴 헐	欠';
驗	시험 험:	馬';
險	험할 험:	阜';
玁	오랑캐이름 험	犬';
獫	오랑캐이름 험 | 개 렴	犬';
革	가죽 혁	革';
爀	불빛 혁	火';
赫	빛날 혁	赤';
奕	클 혁	大';
侐	고요할 혁	人';
洫	빌[虛]/넘칠 혁	水';
焃	붉을 혁	火';
虩	두려워할 혁	虍';
衋	애통해할 혁	血';
現	나타날 현:	玉';
賢	어질 현	貝';
顯	나타날 현:	頁';
懸	달[繫] 현:	心';
玄	검을 현	玄';
絃	줄 현	糸';
縣	고을 현:	糸';
弦	시위 현	弓';
峴	고개 현:	山';
鉉	솥귀 현	金';
炫	밝을 현:	火';
衒	자랑할 현:	行';
眩	어지러울 현:	目';
絢	무늬 현:	糸';
睍	눈불거질 현	目';
俔	엿볼 현	人';
晛	햇살 현	日';
玹	옥돌 현	玉';
舷	뱃전 현	舟';
泫	눈물흘릴/이슬맺힐 현:	水';
鞙	멍에끈 현	革';
儇	영리할 현	人';
嬛	산뜻할 현 | 외로울 경	女';
昡	햇빛 현	日';
駽	검푸른말 현	馬';
莧	비름 현:	艸';
怰	팔 현	心';
血	피 혈	血';
穴	굴 혈	穴';
孑	외로울 혈	子';
頁	머리 혈	頁';
絜	잴 혈 | 깨끗할 결	糸';
嫌	싫어할 혐	女';
協	화할 협	十';
脅	위협할 협	肉';
峽	골짜기 협	山';
陜	좁을 협 | 땅이름 합	阜';
俠	의기로울 협	人';
挾	낄 협	手';
狹	좁을 협	犬';
頰	뺨 협	頁';
脇	갈비[脅] 협	肉';
浹	두루미칠 협	水';
夾	낄 협	大';
鋏	가위 협	金';
莢	콩꼬투리 협	艸';
冾	젖을 협	冫';
恊	맞을 협	心';
兄	형 형	儿';
形	모양 형	彡';
刑	형벌 형	刀';
衡	저울대 형	行';
亨	형통할 형	亠';
螢	반딧불 형	虫';
型	모형 형	土';
馨	꽃다울 형	香';
邢	성(姓) 형	邑';
瑩	밝을 형 | 옥돌 영	玉';
炯	빛날 형	火';
瀅	물맑을 형:	水';
荊	가시 형	艸';
灐	사람이름 형	水';
烱	빛날 형	火';
滎	실개천 형	水';
泂	멀 형	水';
逈	멀 형	辵';
珩	패옥 형	玉';
鎣	줄 형	金';
熒	등불반짝거릴 형	火';
惠	은혜 혜:	心';
慧	슬기로울 혜:	心';
兮	어조사 혜	八';
彗	살별 혜:	彐';
醯	식혜 혜	酉';
暳	별반짝거릴 혜	日';
蹊	지름길 혜	足';
鞋	신 혜	革';
蕙	난초/혜초 혜:	艸';
嘒	반짝거릴 혜	口';
憓	사랑할 혜	心';
盻	눈흘길 혜	目';
徯	기다릴 혜:	彳';
傒	기다릴/가둘 혜	人';
譓	슬기로울 혜	言';
號	이름 호(:)	虍';
湖	호수 호	水';
好	좋을 호:	女';
戶	집 호:	戶';
護	도울 호:	言';
呼	부를 호	口';
浩	넓을 호:	水';
豪	호걸 호	豕';
胡	되[狄] 호	肉';
虎	범 호(:)	虍';
乎	어조사 호	丿';
互	서로 호:	二';
毫	터럭 호	毛';
濠	호주 호	水';
壕	해자 호	土';
扈	따를 호:	戶';
昊	하늘 호:	日';
鎬	호경 호:	金';
澔	넓을 호:	水';
皓	흴[白] 호	白';
祜	복(福) 호	示';
晧	밝을 호:	日';
糊	풀칠할 호	米';
弧	활 호	弓';
狐	여우 호	犬';
瑚	산호 호	玉';
琥	호박(琥珀) 호:	玉';
蒿	다북쑥 호 | 다북쑥 고	艸';
葫	물외/마늘 호	艸';
芦	지황 호	艸';
壺	병 호	士';
蝴	나비 호	虫';
頀	구할 호	音';
顥	클 호	頁';
縞	흰깁 호	糸';
灝	물줄기멀 호	水';
瓠	박 호	瓜';
滸	물가 호	水';
岵	초목이우거진산 호	山';
淏	맑을 호:	水';
濩	퍼질 호 | 낙숫물떨어지는모양 확	水';
薅	김맬 호	艸';
皥	밝을 호	白';
皜	흴 호	白';
怙	믿을 호:	心';
嘑	부르짖을 호	口';
或	혹 혹	戈';
惑	미혹할 혹	心';
酷	심할 혹	酉';
婚	혼인할 혼	女';
混	섞을 혼:	水';
魂	넋 혼	鬼';
昏	어두울 혼	日';
渾	흐릴 혼:	水';
琿	아름다운옥 혼	玉';
惛	흐릴 혼 | 번민할 민	心';
忽	갑자기 홀	心';
笏	홀(笏) 홀	竹';
惚	황홀할 홀	心';
紅	붉을 홍	糸';
洪	넓을 홍	水';
鴻	기러기 홍	鳥';
弘	클 홍	弓';
泓	물깊을 홍	水';
哄	떠들썩할 홍	口';
訌	어지러울 홍	言';
虹	무지개 홍	虫';
烘	불쬘 홍	火';
汞	수은 홍	水';
鉷	쇠뇌 홍	金';
鬨	싸움소리 홍:	鬥';
洚	물넘칠 홍	水';
火	불 화(:)	火';
話	말씀 화	言';
花	꽃 화	艸';
和	화할 화	口';
畫	그림 화: | 그을 획(劃)	田';
化	될 화(:)	匕';
貨	재물 화:	貝';
華	빛날 화	艸';
禍	재앙 화:	示';
禾	벼 화	禾';
靴	신[履, 鞋] 화	革';
樺	벚나무/자작나무 화	木';
嬅	탐스러울 화	女';
譁	지껄일 화	言';
畵	그림 화: | 그을 획[畫]	田';
確	굳을 확	石';
穫	거둘 확	禾';
擴	넓힐 확	手';
碻	굳을 확	石';
攫	움킬 확	手';
雘	붉을/진사(辰沙) 확	隹';
矍	두리번거릴 확	目';
患	근심 환:	心';
歡	기쁠 환	欠';
環	고리 환(:)	玉';
還	돌아올 환	辵';
換	바꿀 환:	手';
丸	둥글 환	丶';
幻	헛보일 환:	幺';
煥	빛날 환:	火';
桓	굳셀 환	木';
宦	벼슬 환:	宀';
鰥	홀아비 환	魚';
喚	부를 환	口';
驩	기뻐할 환	馬';
奐	빛날 환	大';
晥	밝을 환	日';
紈	흰깁 환	糸';
渙	물흩어질 환:	水';
芄	왕골 환	艸';
鐶	고리 환	金';
鍰	무게단위/고리 환	金';
豢	기를 환:	豕';
逭	도망할 환:	辵';
睆	밝을 환	目';
懽	기뻐할 환	心';
圜	두를 환 | 둥글 원	囗';
活	살 활	水';
滑	미끄러울 활 | 익살스러울 골	水';
猾	교활할 활	犬';
闊	넓을 활	門';
豁	넓을 활	谷';
濶	넓을 활	水';
黃	누를 황	黃';
況	상황 황:	水';
皇	임금 황	白';
荒	거칠 황	艸';
晃	밝을 황	日';
滉	깊을 황	水';
煌	빛날 황	火';
徨	헤맬 황	彳';
遑	급할 황	辵';
恍	황홀할 황	心';
慌	어리둥절할 황	心';
凰	봉황 황	几';
惶	두려울 황	心';
篁	대숲 황	竹';
榥	책상 황	木';
湟	웅덩이 황	水';
潢	웅덩이 황	水';
璜	패옥 황	玉';
簧	생황 황	竹';
蝗	황충[食苗蟲] 황	虫';
幌	휘장 황	巾';
愰	들뜰 황	心';
晄	밝을 황	日';
隍	해자 황	阜';
喤	울음소리 황	口';
堭	해자 황	土';
媓	어머니 황	女';
會	모일 회:	曰';
回	돌아올 회	囗';
灰	재 회	火';
懷	품을 회	心';
悔	뉘우칠 회:	心';
廻	돌[旋] 회	廴';
淮	물이름 회	水';
檜	전나무 회:	木';
賄	재물/뇌물 회:	貝';
誨	가르칠 회:	言';
蛔	회충 회	虫';
膾	회(膾) 회:	肉';
繪	그림 회:	糸';
晦	그믐 회	日';
徊	머뭇거릴 회	彳';
恢	넓을 회	心';
匯	물돌아모일 회:	匚';
澮	봇도랑 회:	水';
茴	회향 회	艸';
獪	교활할 회: | 교활할 쾌:	犬';
頮	낯씻을 회	頁';
洄	거슬러흐를/돌아흐를 회	水';
薈	초목무성할 회	艸';
獲	얻을 획	犬';
劃	그을 획	刀';
擭	잡을 획 | 덫 확	手';
橫	가로 횡	木';
鐄	큰쇠북 횡	金';
宖	집울릴 횡	宀';
孝	효도 효:	子';
效	본받을 효:	攴';
曉	새벽 효:	日';
嚆	울릴 효	口';
爻	사귈/가로그을 효	爻';
酵	삭힐 효:	酉';
哮	성낼 효	口';
驍	날랠 효	馬';
斅	가르칠 효	攴';
梟	올빼미 효	木';
淆	뒤섞일 효	水';
涍	물이름 효	水';
肴	안주 효	肉';
鴞	부엉이/올빼미 효	鳥';
効	본받을 효[效]:	力';
嘵	두려워할 효	口';
傚	본받을 효	人';
囂	들렐 효	口';
殽	섞일/안주 효	殳';
虓	범울부짖을 효	虍';
後	뒤 후:	彳';
厚	두터울 후:	厂';
候	기후 후:	人';
侯	제후 후	人';
喉	목구멍 후	口';
后	임금/왕후 후:	口';
逅	만날 후:	辵';
朽	썩을 후:	木';
嗅	맡을 후:	口';
吼	울부짖을 후:	口';
帿	과녁 후	巾';
珝	옥이름 후	玉';
煦	따스할 후	火';
酗	주정할 후	酉';
餱	건량 후	食';
鍭	화살촉 후	金';
詡	자랑할 후	言';
訓	가르칠 훈:	言';
勳	공(功) 훈	力';
熏	불길 훈	火';
薰	향풀 훈	艸';
壎	질나팔 훈	土';
暈	무리[光環] 훈	日';
焄	향내 훈	火';
塤	질나발[壎] 훈	土';
勛	공[勳] 훈	力';
燻	연기치밀 훈	火';
纁	분홍빛 훈	糸';
鑂	금빛바랠 훈	金';
薨	죽을 훙	艸';
喧	지껄일 훤	口';
暄	따뜻할 훤	日';
萱	원추리 훤	艸';
煊	밝을 훤	火';
貆	담비새끼 훤	豸';
諼	속일/잊을 훤	言';
咺	울 훤	口';
諠	지껄일/잊을 훤	言';
毁	헐 훼:	殳';
喙	부리 훼	口';
卉	풀 훼	十';
虺	독사/작은뱀 훼:	虫';
揮	휘두를 휘	手';
輝	빛날 휘	車';
徽	아름다울 휘	彳';
麾	기(旗) 휘	麻';
彙	무리 휘	彐';
諱	숨길/꺼릴 휘	言';
煇	빛날 휘 | 햇무리 운	火';
暉	햇빛 휘	日';
翬	날개훨훨칠/꿩 휘	羽';
休	쉴 휴	人';
携	이끌 휴	手';
烋	아름다울 휴	火';
虧	이지러질 휴	虍';
畦	밭이랑 휴 | 밭이랑 규	田';
觿	뿔송곳 휴	角';
睢	부릅떠볼 휴 | 물이름 수	目';
咻	지껄일 휴 | 따뜻하게할 후	口';
攜	끌 휴	手';
恤	불쌍할 휼	心';
譎	속일 휼	言';
鷸	도요새 휼	鳥';
遹	좇을/간사할 휼	辵';
凶	흉할 흉	凵';
胸	가슴 흉	肉';
匈	오랑캐 흉	勹';
兇	흉악할 흉	儿';
洶	용솟음칠 흉	水';
訩	흉악할/다툴 흉	言';
黑	검을 흑	黑';
欣	기쁠 흔	欠';
痕	흔적 흔	疒';
昕	해돋을 흔	日';
炘	화끈거릴 흔	火';
釁	틈 흔	酉';
忻	기뻐할 흔	心';
屹	산우뚝할 흘	山';
吃	말더듬을 흘	口';
紇	질낮은실 흘	糸';
訖	이를[至] 흘	言';
齕	씹을/깨물 흘	齒';
迄	이를 흘	辵';
汔	거의 흘	水';
仡	날랠 흘 | 배흔들리는모양 올	人';
欽	공경할 흠	欠';
歆	흠향할 흠	欠';
欠	하품 흠:	欠';
吸	마실 흡	口';
洽	흡족할 흡	水';
恰	흡사할 흡	心';
翕	모을 흡	羽';
潝	물빨리흐를 흡	水';
興	일[盛] 흥(:)	臼';
希	바랄 희	巾';
喜	기쁠 희	口';
稀	드물 희	禾';
戲	놀이 희	戈';
煕	빛날 희	火';
姬	계집 희	女';
噫	한숨쉴 희	口';
熹	빛날 희	火';
憙	기뻐할 희	心';
嬉	아름다울 희	女';
羲	복희(伏羲) 희	羊';
禧	복(福) 희	示';
犧	희생 희	牛';
熺	빛날[熹] 희	火';
凞	화할 희	冫';
僖	즐거울 희	人';
囍	쌍희(雙喜) 희	口';
憘	기쁠[喜] 희	心';
戱	놀이[戲] 희	戈';
晞	마를 희	日';
曦	햇빛 희	日';
饎	주식 희	食';
咥	웃을 희 | 깨물 절	口';
嘻	탄식하는소리/화락할 희	口';
爔	불 희	火';
豨	돼지 희	豕';
餼	보낼 희	食';
橲	나무이름 희	木';
詰	꾸짖을 힐	言';
襭	옷자락에꽂을 힐	衣';
